TransactionID,Warehouse,ProductCode,GroupOrder,Quantity,Unit,Department,Priority,Operator,Shift,DateTime,Comments
TXN001,WH-A,PRD-100,ORD-1001,50,Units,Operations,High,John Smith,Morning,2024-03-15 08:30:00,Initial shipment
TXN002,WH-B,PRD-200,ORD-1002,25,Boxes,Logistics,Medium,Jane Doe,Morning,2024-03-15 09:00:00,Priority order
TXN003,WH-A,PRD-300,ORD-1003,100,Units,Operations,Low,John Smith,Morning,2024-03-15 09:45:00,Bulk order
TXN004,WH-C,PRD-100,ORD-1004,75,Units,Maintenance,High,Bob Wilson,Afternoon,2024-03-15 13:00:00,Urgent
TXN005,WH-B,PRD-400,ORD-1001,30,Boxes,Logistics,High,Jane Doe,Afternoon,2024-03-15 14:30:00,Second batch
TXN006,WH-A,PRD-500,ORD-1005,60,Units,Operations,Medium,John Smith,Evening,2024-03-15 18:00:00,Regular
TXN007,WH-C,PRD-200,ORD-1006,45,Units,Maintenance,Low,Bob Wilson,Evening,2024-03-15 19:30:00,Routine check
TXN008,WH-B,PRD-300,ORD-1002,80,Boxes,Logistics,Medium,Jane Doe,Evening,2024-03-15 20:00:00,Follow-up
TXN009,WH-A,PRD-600,ORD-1007,35,Units,Operations,High,John Smith,Night,2024-03-15 22:30:00,Night run
TXN010,WH-C,PRD-100,ORD-1003,90,Units,Maintenance,High,Bob Wilson,Night,2024-03-15 23:15:00,Night shift
